 State abbreviation , FIPS State code , State nameplate capacity (MW) , State annual heat input from combustion (MMBtu) , State ozone season heat input from combustion (MMBtu) , State total annual heat input (MMBtu) , State total ozone season heat input (MMBtu) , State annual net generation (MWh) , State ozone season net generation (MWh) , State annual NOx emissions (tons) , State ozone season NOx emissions (tons) , State annual SO2 emissions (tons) , State annual CO2 emissions (tons) , State annual CH4 emissions (lbs) , State annual N2O emissions (lbs) , State annual CO2 equivalent emissions (tons) , State annual Hg emissions (lbs) , State annual NOx total output emission rate (lb/MWh) , State ozone season NOx total output emission rate (lb/MWh) , State annual SO2 total output emission rate (lb/MWh) , State annual CO2 total output emission rate (lb/MWh) , State annual CH4 total output emission rate (lb/GWh) , State annual N2O total output emission rate (lb/GWh) , State annual CO2 equivalent total output emission rate (lb/MWh) , State annual Hg total output emission rate (lb/GWh) , State annual NOx input emission rate (lb/MMBtu) , State ozone season NOx input emission rate (lb/MMBtu) , State annual SO2 input emission rate (lb/MMBtu) , State annual CO2 input emission rate (lb/MMBtu) , State annual Hg input emission rate (lb/BBtu) , State annual NOx combustion output emission rate (lb/MWh) , State ozone season NOx combustion output emission rate (lb/MWh) , State annual SO2 combustion output emission rate (lb/MWh) , State annual CO2 combustion output emission rate (lb/MWh) , State annual CH4 combustion output emission rate (lb/GWh) , State annual N2O combustion output emission rate (lb/GWh) , State annual Hg combustion output emission rate (lb/GWh) , State annual NOx coal output emission rate (lb/MWh) , State annual NOx oil output emission rate (lb/MWh) , State annual NOx gas output emission rate (lb/MWh) , State annual NOx fossil fuel output emission rate (lb/MWh) , State ozone season NOx coal output emission rate (lb/MWh) , State ozone season NOx oil output emission rate (lb/MWh) , State ozone season NOx gas output emission rate (lb/MWh) , State ozone season Nox fossil fuel output emission rate (lb/MWh) , State annual SO2 coal output emission rate (lb/MWh) , State annual SO2 oil output emission rate (lb/MWh) , State annual SO2 gas output emission rate (lb/MWh) , State annual SO2 fossil fuel output emission rate (lb/MWh) , State annual CO2 coal output emission rate (lb/MWh) , State annual CO2 oil output emission rate (lb/MWh) , State annual CO2 gas output emission rate (lb/MWh) , State annual CO2 fossil fuel output emission rate (lb/MWh) , State annual Hg coal output emission rate (lb/GWh) , State annual Hg fossil fuel output emission rate (lb/GWh) , State annual NOx coal input emission rate (lb/MMBtu) , State annual NOx oil input emission rate (lb/MMBtu) , State annual NOx gas input emission rate (lb/MMBtu) , State annual NOx fossil fuel input emission rate (lb/MMBtu) , State ozone season NOx coal input emission rate (lb/MMBtu) , State ozone season NOx oil input emission rate (lb/MMBtu) , State ozone season NOx gas input emission rate (lb/MMBtu) , State ozone season NOx fossil fuel input emission rate (lb/MMBtu) , State annual SO2 coal input emission rate (lb/MMBtu) , State annual SO2 oil input emission rate (lb/MMBtu) , State annual SO2 gas input emission rate (lb/MMBtu) , State annual SO2 fossil fuel input emission rate (lb/MMBtu) , State annual CO2 coal input emission rate (lb/MMBtu) , State annual CO2 oil input emission rate (lb/MMBtu) , State annual CO2 gas input emission rate (lb/MMBtu) , State annual CO2 fossil fuel input emission rate (lb/MMBtu) , State annual Hg coal input emission rate (lb/BBtu) , State annual Hg fossil fuel input emission rate (lb/BBtu) , State annual NOx non-baseload output emission rate (lb/MWh) , State ozone season NOx non-baseload output emission rate (lb/MWh) , State annual SO2 non-baseload output emission rate (lb/MWh)  , State annual CO2 non-baseload  output emission rate (lb/MWh)  , State annual CH4 non-baseload output emission rate (lb/GWh) , State annual N2O non-baseload output emission rate (lb/GWh) , State annual Hg non-baseload  output emission rate (lb/GWh)  , State annual coal net generation (MWh) , State annual oil net generation (MWh) , State annual gas net generation (MWh) , State annual nuclear net generation (MWh) , State annual hydro net generation (MWh) , State annual biomass net generation (MWh) , State annual wind net generation (MWh) , State annual solar net generation (MWh) , State annual geothermal net generation (MWh) , State annual other fossil net generation (MWh) , State annual other unknown/ purchased fuel net generation (MWh) , State annual total nonrenewables net generation (MWh) , State annual total renewables net generation (MWh) , State annual total nonhydro renewables net generation (MWh) , State annual total combustion net generation (MWh) , State annual total noncombustion net generation (MWh) , State coal generation percent (resource mix) , State oil generation percent (resource mix) , State gas generation percent (resource mix) , State nuclear generation percent (resource mix) , State hydro generation percent (resource mix) , State biomass generation percent (resource mix) , State wind generation percent (resource mix) , State solar generation percent (resource mix) , State geothermal generation percent (resource mix) , State other fossil  generation percent (resource mix) , State other unknown/ purchased fuel generation percent (resource mix) , State total nonrenewables generation percent (resource mix) , State total renewables generation percent (resource mix) , State total nonhydro renewables generation percent (resource mix) , State total combustion generation percent (resource mix) , State total noncombustion generation percent (resource mix) 
 PSTATABB , FIPSST , NAMEPCAP , STHTIAN , STHTIOZ , STHTIANT , STHTIOZT , STNGENAN , STNGENOZ , STNOXAN , STNOXOZ , STSO2AN , STCO2AN , STCH4AN , STN2OAN , STCO2EQA , STHGAN , STNOXRTA , STNOXRTO , STSO2RTA , STCO2RTA , STCH4RTA , STN2ORTA , STC2ERTA , STHGRTA , STNOXRA , STNOXRO , STSO2RA , STCO2RA , STHGRA , STNOXCRT , STNOXCRO , STSO2CRT , STCO2CRT , STCH4CRT , STN2OCRT , STHGCRT , STCNOXRT , STONOXRT , STGNOXRT , STFSNXRT , STCNXORT , STONXORT , STGNXORT , STFSNORT , STCSO2RT , STOSO2RT , STGSO2RT , STFSS2RT , STCCO2RT , STOCO2RT , STGCO2RT , STFSC2RT , STCHGRT , STFSHGRT , STCNOXR , STONOXR , STGNOXR , STFSNXR , STCNXOR , STONXOR , STGNXOR , STFSNOR , STCSO2R , STOSO2R , STGSO2R , STFSS2R , STCCO2R , STOCO2R , STGCO2R , STFSC2R , STCHGR , STFSHGR , STNBNOX , STNBNXO , STNBSO2 , STNBCO2 , STNBCH4 , STNBN2O , STNBHG , STGENACL , STGENAOL , STGENAGS , STGENANC , STGENAHY , STGENABM , STGENAWI , STGENASO , STGENAGT , STGENAOF , STGENAOP , STGENATN , STGENATR , STGENATH , STGENACY , STGENACN , STCLPR , STOLPR , STGSPR , STNCPR , STHYPR , STBMPR , STWIPR , STSOPR , STGTPR , STOFPR , STOPPR , STTNPR , STTRPR , STTHPR , STCYPR , STCNPR 
AK,02," 3,184 "," 38,072,939 "," 18,277,084 "," 54,140,994 "," 24,706,925 "," 6,045,142 "," 2,332,695 "," 11,021 "," 4,139 "," 2,105 "," 2,644,805 "," 268,515 "," 41,817 "," 2,654,106 ",N/A, 3.646 , 3.549 , 0.696 , 875.018 , 44.418 , 6.917 , 878.096 , N/A , 0.579 , 0.453 , 0.111 , 138.934 , N/A , 5.062 , 4.927 , 0.967 ," 1,214.760 ", 61.665 , 9.603 , N/A , 1.331 , 27.463 , 2.645 , 5.115 , 1.399 , 28.114 , 2.807 , 5.067 , 3.920 , 4.263 , 0.008 , 0.973 ," 2,523.732 "," 2,133.904 ", 880.120 ," 1,228.914 ", N/A , N/A , 0.112 , 2.052 , 0.351 , 0.587 , 0.124 , 1.771 , 0.270 , 0.459 , 0.331 , 0.319 , 0.001 , 0.112 , 212.886 , 159.433 , 116.905 , 140.951 , N/A , N/A , 6.160 , 6.087 , 1.046 ," 1,241.396 ", 113.849 , 18.851 , N/A ," 558,292 "," 445,621 "," 3,288,022 ", -   ," 1,538,738 "," 62,512 "," 151,957 ", -   , -   , -   , -   ," 4,291,936 "," 1,753,207 "," 214,469 "," 4,354,448 "," 1,690,695 ", 9.2 , 7.4 , 54.4 , -   , 25.5 , 1.0 , 2.5 , -   , -   , -   , -   , 71.0 , 29.0 , 3.5 , 72.0 , 28.0 
AL,01," 38,311 "," 928,160,456 "," 434,957,949 "," 1,449,562,725 "," 644,376,967 "," 149,248,103 "," 65,358,561 "," 50,855 "," 21,689 "," 120,922 "," 78,643,037 "," 13,209,154 "," 1,922,314 "," 79,077,486 ",N/A, 0.681 , 0.664 , 1.620 ," 1,053.856 ", 88.505 , 12.880 ," 1,059.678 ", N/A , 0.110 , 0.100 , 0.261 , 169.460 , N/A , 1.032 , 1.005 , 2.454 ," 1,596.205 ", 134.052 , 19.508 , N/A , 1.708 , 29.406 , 0.106 , 1.032 , 1.563 , 29.421 , 0.103 , 0.957 , 4.257 , 2.785 , 0.041 , 2.478 ," 2,182.673 "," 1,571.669 ", 864.354 ," 1,626.479 ", N/A , N/A , 0.155 , 3.056 , 0.014 , 0.109 , 0.140 , 3.052 , 0.014 , 0.099 , 0.387 , 0.289 , 0.006 , 0.262 , 198.624 , 163.325 , 117.448 , 171.974 , N/A , N/A , 1.297 , 1.219 , 3.876 ," 1,614.635 ", 258.386 , 37.468 , N/A ," 47,289,237 "," 97,974 "," 48,262,938 "," 41,243,689 "," 9,466,872 "," 2,706,848 ", -   , -   , -   ," 180,544 ", -   ," 137,074,382 "," 12,173,720 "," 2,706,848 "," 98,537,542 "," 50,710,561 ", 31.7 , 0.1 , 32.3 , 27.6 , 6.3 , 1.8 , -   , -   , -   , 0.1 , -   , 91.8 , 8.2 , 1.8 , 66.0 , 34.0 
AR,05," 19,444 "," 416,873,789 "," 187,421,269 "," 593,470,321 "," 255,790,286 "," 61,592,137 "," 26,538,281 "," 39,444 "," 18,555 "," 77,729 "," 39,535,585 "," 8,476,457 "," 1,245,139 "," 39,817,585 ",N/A, 1.281 , 1.398 , 2.524 ," 1,283.787 ", 137.622 , 20.216 ," 1,292.944 ", N/A , 0.189 , 0.198 , 0.373 , 189.677 , N/A , 1.776 , 1.940 , 3.501 ," 1,780.600 ", 190.881 , 28.039 , N/A , 2.250 ,, 0.212 , 1.803 , 2.394 ,, 0.271 , 1.894 , 4.570 ,, 0.005 , 3.568 ," 2,126.045 ",, 880.036 ," 1,852.580 ", N/A , N/A , 0.222 ,, 0.029 , 0.189 , 0.234 ,, 0.036 , 0.198 , 0.451 ,, 0.001 , 0.374 , 209.739 ,, 118.841 , 194.249 , N/A , N/A , 1.127 , 1.202 , 2.098 ," 1,382.650 ", 232.939 , 34.077 , N/A ," 33,220,755 "," 29,274 "," 9,613,708 "," 14,478,259 "," 2,706,846 "," 1,530,217 ", -   , -   , -   ," 13,078 ", -   ," 57,355,074 "," 4,237,063 "," 1,530,217 "," 44,407,032 "," 17,185,105 ", 53.9 , 0.0 , 15.6 , 23.5 , 4.4 , 2.5 , -   , -   , -   , 0.0 , -   , 93.1 , 6.9 , 2.5 , 72.1 , 27.9 
AZ,04," 39,166 "," 676,312,664 "," 337,063,630 "," 1,106,770,070 "," 527,976,869 "," 108,779,907 "," 52,361,316 "," 49,434 "," 22,134 "," 22,611 "," 60,422,378 "," 11,309,165 "," 1,625,491 "," 60,793,076 ",N/A, 0.909 , 0.845 , 0.416 ," 1,110.911 ", 103.964 , 14.943 ," 1,117.726 ", N/A , 0.146 , 0.131 , 0.067 , 178.682 , N/A , 1.410 , 1.311 , 0.645 ," 1,723.166 ", 161.261 , 23.178 , N/A , 2.170 , 16.858 , 0.136 , 1.462 , 2.132 , 16.860 , 0.131 , 1.299 , 1.038 , 9.675 , 0.005 , 0.679 ," 2,237.294 "," 3,128.623 "," 1,029.474 "," 1,817.127 ", N/A , N/A , 0.199 , 0.880 , 0.016 , 0.145 , 0.195 , 0.880 , 0.015 , 0.130 , 0.095 , 0.505 , 0.001 , 0.067 , 205.465 , 163.326 , 118.806 , 179.640 , N/A , N/A , 0.786 , 0.642 , 0.510 ," 1,375.789 ", 163.025 , 22.660 , N/A ," 42,665,011 "," 56,862 "," 27,176,893 "," 32,320,917 "," 6,132,153 "," 230,743 "," 468,115 "," 3,130,527 ", -   , -   , -   ," 102,219,683 "," 9,961,539 "," 3,829,386 "," 70,129,509 "," 42,051,712 ", 38.0 , 0.1 , 24.2 , 28.8 , 5.5 , 0.2 , 0.4 , 2.8 , -   , -   , -   , 91.1 , 8.9 , 3.4 , 62.5 , 37.5 
CA,06," 105,821 "," 980,257,757 "," 431,184,239 "," 1,648,520,377 "," 775,829,705 "," 197,243,680 "," 91,692,028 "," 23,056 "," 9,952 "," 5,334 "," 54,587,169 "," 6,680,665 "," 817,719 "," 54,774,531 ",N/A, 0.234 , 0.217 , 0.054 , 553.500 , 33.870 , 4.146 , 555.400 , N/A , 0.047 , 0.046 , 0.011 , 111.373 , N/A , 0.357 , 0.331 , 0.083 , 844.774 , 51.694 , 6.327 , N/A , 0.720 , 20.186 , 0.181 , 0.193 , 0.580 , 19.959 , 0.181 , 0.193 , 3.701 , 2.998 , 0.006 , 0.033 ," 2,147.447 "," 1,512.334 ", 859.378 , 868.243 , N/A , N/A , 0.069 , 2.007 , 0.025 , 0.026 , 0.053 , 1.976 , 0.025 , 0.026 , 0.355 , 0.298 , 0.001 , 0.004 , 205.789 , 150.375 , 117.860 , 118.734 , N/A , N/A , 0.241 , 0.242 , 0.056 , 914.451 , 73.625 , 8.687 , N/A ," 804,760 "," 64,721 "," 119,431,363 "," 16,985,978 "," 16,420,784 "," 6,862,929 "," 12,987,646 "," 9,883,634 "," 12,101,728 "," 1,435,176 "," 636,010 "," 139,358,008 "," 58,256,721 "," 41,835,937 "," 129,234,959 "," 68,379,770 ", 0.4 , 0.0 , 60.4 , 8.6 , 8.3 , 3.5 , 6.6 , 5.0 , 6.1 , 0.7 , 0.3 , 70.5 , 29.5 , 21.2 , 65.4 , 34.6 
CO,08," 19,133 "," 453,022,260 "," 199,898,861 "," 542,783,285 "," 232,517,801 "," 53,847,380 "," 23,019,322 "," 42,389 "," 18,486 "," 27,259 "," 42,616,654 "," 8,508,112 "," 1,226,827 "," 42,896,148 ",N/A, 1.574 , 1.606 , 1.012 ," 1,582.868 ", 158.004 , 22.783 ," 1,593.249 ", N/A , 0.187 , 0.185 , 0.120 , 188.144 , N/A , 1.897 , 1.936 , 1.220 ," 1,907.589 ", 190.418 , 27.457 , N/A , 2.401 , 70.572 , 0.450 , 1.883 , 2.389 , 70.528 , 0.441 , 1.860 , 1.649 , 30.982 , 0.048 , 1.224 ," 2,247.754 "," 10,364.811 ", 995.688 ," 1,914.878 ", N/A , N/A , 0.222 , 1.112 , 0.054 , 0.186 , 0.221 , 1.113 , 0.053 , 0.183 , 0.153 , 0.488 , 0.006 , 0.121 , 208.204 , 163.326 , 119.304 , 188.747 , N/A , N/A , 1.518 , 1.510 , 1.099 ," 1,720.382 ", 304.975 , 43.580 , N/A ," 32,544,849 "," 9,926 "," 11,953,808 ", -   ," 1,544,537 "," 125,707 "," 7,368,614 "," 253,065 ", -   , -   ," 46,874 "," 44,555,457 "," 9,291,923 "," 7,747,386 "," 44,681,164 "," 9,166,216 ", 60.4 , 0.0 , 22.2 , -   , 2.9 , 0.2 , 13.7 , 0.5 , -   , -   , 0.1 , 82.7 , 17.3 , 14.4 , 83.0 , 17.0 
CT,09," 10,402 "," 149,936,482 "," 62,950,591 "," 319,853,564 "," 136,348,113 "," 33,651,816 "," 14,516,892 "," 6,909 "," 2,697 "," 1,832 "," 8,987,822 "," 2,245,481 "," 292,375 "," 9,056,717 ",N/A, 0.411 , 0.372 , 0.109 , 534.166 , 66.727 , 8.688 , 538.260 , N/A , 0.092 , 0.086 , 0.024 , 119.888 , N/A , 0.795 , 0.720 , 0.211 ," 1,034.754 ", 129.259 , 16.830 , N/A , 1.422 , 2.204 , 0.343 , 0.439 , 1.878 , 4.734 , 0.334 , 0.353 , 2.213 , 2.409 , 0.031 , 0.195 ," 2,186.618 "," 1,764.747 ", 894.941 , 980.567 , N/A , N/A , 0.136 , 0.197 , 0.045 , 0.056 , 0.134 , 0.184 , 0.045 , 0.047 , 0.212 , 0.215 , 0.004 , 0.025 , 209.749 , 157.484 , 118.261 , 125.823 , N/A , N/A , 0.839 , 0.699 , 0.459 ," 1,136.155 ", 224.921 , 30.155 , N/A ," 824,948 "," 513,414 "," 14,683,905 "," 15,840,619 "," 440,742 "," 745,119 ", -   ," 11,706 ", -   ," 604,506 ", -   ," 32,467,392 "," 1,197,567 "," 756,825 "," 17,371,892 "," 16,293,067 ", 2.5 , 1.5 , 43.6 , 47.1 , 1.3 , 2.2 , -   , 0.0 , -   , 1.8 , -   , 96.4 , 3.6 , 2.2 , 51.6 , 48.4 
DC,11, 25 ," 685,206 "," 330,327 "," 685,206 "," 330,327 "," 67,612 "," 32,595 ", -   , -   , 0 ," 40,047 "," 1,511 ", 151 ," 40,086 ",N/A, -   , -   , 0.006 ," 1,184.598 ", 22.342 , 2.234 ," 1,185.760 ", N/A , -   , -   , 0.001 , 116.889 , N/A , -   , -   , 0.006 ," 1,184.595 ", 22.342 , 2.234 , N/A , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.006 , 0.006 , -   , -   ," 1,184.598 "," 1,184.598 ", N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.001 , 0.001 , -   , -   , 116.889 , 116.889 , N/A , N/A , -   , -   , 0.006 ," 1,184.598 ", 44.685 , 4.468 , N/A , -   , -   ," 67,612 ", -   , -   , -   , -   , -   , -   , -   , -   ," 67,612 ", -   , -   ," 67,612 ", -   , -   , -   , 100.0 , -   , -   , -   , -   , -   , -   , -   , -   , 100.0 , -   , -   , 100.0 , -   
DE,10," 4,000 "," 60,715,726 "," 28,540,168 "," 61,234,794 "," 28,780,285 "," 7,598,247 "," 3,556,771 "," 2,292 ", 928 , 829 ," 3,961,772 "," 380,229 "," 50,486 "," 3,973,589 ",N/A, 0.603 , 0.522 , 0.218 ," 1,042.812 ", 50.042 , 6.644 ," 1,045.923 ", N/A , 0.076 , 0.065 , 0.027 , 130.502 , N/A , 0.608 , 0.526 , 0.220 ," 1,050.357 ", 50.404 , 6.692 , N/A , 0.756 , 0.837 , 0.389 , 0.496 , 0.816 , 0.704 , 0.338 , 0.433 , 1.724 , 0.054 , 0.013 , 0.244 ," 2,009.788 "," 1,409.134 ", 985.773 ," 1,176.107 ", N/A , N/A , 0.077 , 0.072 , 0.047 , 0.056 , 0.079 , 0.060 , 0.041 , 0.048 , 0.176 , 0.005 , 0.002 , 0.028 , 205.196 , 120.867 , 120.112 , 132.672 , N/A , N/A , 0.518 , 0.457 , 0.293 ," 1,110.213 ", 125.059 , 16.955 , N/A ," 865,384 "," 183,282 "," 6,192,122 ", -   , -   ," 76,499 "," 5,051 "," 49,530 ", -   ," 226,379 ", -   ," 7,467,167 "," 131,080 "," 131,080 "," 7,543,666 "," 54,581 ", 11.4 , 2.4 , 81.5 , -   , -   , 1.0 , 0.1 , 0.7 , -   , 3.0 , -   , 98.3 , 1.7 , 1.7 , 99.3 , 0.7 
