SITE ID,PLACE,SITE NAME,COUNTY,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
3120,Anchor Bay,,Mendocino,1310,,0,,,,,,,,,,0,,,5,0,0,0,
3118,"China Gulch, Gualala",,Mendocino,2000,0,0,,,,,,,,,,,,,5,,0,0,0
3119,"Fish Rock #1, Anchor Bay",,Mendocino,,50,0,,,,,,0,,,,,,,0,,0,0,
3122,"Bay Flat Rd., Bodega Bay",,Sonoma,,,450,700,3,,,,,,,,,,,0,,,0,
3121,"Bodega Dunes Campground, Bodega Bay",,Sonoma,,,300,2500,4,,160,34,0,0,0,0,0,,600,10,0,8,10,50
3133,"Monarch Glen, The Sea Ranch",,Sonoma,440,1600,0,,,,,,0,,,,,,,0,0,0,0,0
3138,"Ranch Road, Bodega Bay",,Sonoma,6220,,0,6,0,,,,,,,,,,,0,,0,0,
3235,Stillwater Cove,,Sonoma,,,,,,,,,,,,,,,,,,,900,
3195,"Swimming Pool, The Sea Ranch",,Sonoma,,,,,,,,,,,,,,,,,5,0,1,0
2912,"Alder Rd., vortex (Larch, Ocean St)",,Marin,,,,,,2300,10400,8880,950,3520,1000,390,1700,0,7700,150,1013,3,4050,13375
2898,"BPUD Sewer Ponds, Bolinas",,Marin,,,,1500,0,0,5,122,,0,,,0,0,0,0,0,0,3,0
2903,Chapman,"Ravine, Stinson Beach",Marin,15500,4000,3000,15150,1000,2000,2000,8050,0,0,0,3,49,0,800,0,503,2,8200,4000
3226,"Charlotte, Muir Beach",,Marin,,,,,,,,,,,,,,,,,,,8000,1206
2909,"Fort Baker, GGNRA",,Marin,,1600,200,310,15,0,9,2200,0,550,0,5,0,0,500,10,0,0,250,259
2675,"Fort Barry, Marin Headlands",(Youth Hostel),Marin,2550,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,2,5,0
3227,"Juniper & Kale, Bolinas",,Marin,,,,,,,,,,,,,,,,,,,10200,4060
2899,"Purple Gate, Bolinas",,Marin,12000,8050,1500,12050,3,2000,300,7200,130,2600,0,20,27,0,400,530,,0,8000,1020
2901,"Terrace Ave., Bolinas",,Marin,,2050,1000,2000,0,0,0,,,0,0,0,0,0,0,0,0,2,0,0
2897,Terwilliger,"Grove, Muir Beach",Marin,2100,500,500,305,0,35,54,,365,,0,0,0,0,0,0,2,0,0,0
3039,"Fort Mason, Near Bldg. 201",,San Francisco,150,110,0,0,0,0,0,,,,14,6,1,3,11,2,4,8,16,3
3040,"Golden Gate Park, 41st & Fulton",,San Francisco,700,0,0,0,,0,,,,,0,0,1,1,0,0,,,0,0
3041,"Golden Gate Park, Botanic Garden",,San Francisco,,,,,,,,,,,,7,1,2,4,4,5,0,4,3
3190,"Golden Gate Park, Strawberry",Hill,San Francisco,,,,,,,,,,,,,,,3,,,,0,0
3194,John McLaren Park,,San Francisco,,,,,,,,,,,,,,,0,,,,0,
3236,Lover's Bridge/ The Presidio,,San Francisco,,,,,,,,,,,,,,,,,,,8,
3037,Rob Hill / The Presidio,,San Francisco,,,,,,0,,,,,1,5,3,2,2,2,3,20,160,200
3042,Stern Grove / Pine Lake,,San Francisco,,,,,,,,,,,,4,0,0,15,3,3,3,27,8
3189,Treasure Island,,San Francisco,,,,,,,,,,,,,,,240,22,12,15,10,1
