year,rcp45median,rcp45min,rcp45max,rcp45p10,rcp45p90,rcp85median,rcp85min,rcp85max,rcp85p10,rcp85p90
2006,60.8972,56.6996,63.9302,58.1846,63.1382,60.7874,59.3528,62.1734,59.684,61.6982
2007,61.3292,58.5932,65.7464,60.2762,64.427,60.8144,59.036,64.6232,59.5958,63.8708
2008,60.9728,56.8922,65.1902,57.5168,63.0968,60.9422,56.1812,65.8148,59.4896,63.7718
2009,60.8792,58.2062,65.48,58.8524,64.0778,60.584,57.9182,63.491,58.1486,63.2948
2010,60.62,58.7426,62.825,59.351,62.2724,60.5642,57.9326,64.3874,58.3268,63.6098
2011,60.7712,59.3708,64.5944,59.621,63.1346,61.5956,56.7878,65.192,58.4798,63.6782
2012,61.124,58.1864,64.9886,58.7516,63.9698,62.0744,59.4752,66.2738,60.0512,65.1308
2013,61.7198,56.8958,64.598,58.613,64.13,61.2644,58.8884,65.3666,59.4878,64.5458
2014,61.9754,59.6336,66.1838,59.8874,64.9832,61.9304,59.1494,66.6032,59.1926,64.8302
2015,61.6388,58.2296,63.302,59.072,63.1868,60.629,57.6284,65.8238,58.4006,62.996
2016,60.8648,57.8282,65.4476,59.6966,63.077,62.2724,58.0316,65.237,59.0918,63.8564
2017,61.4174,57.6806,66.0434,59.6066,63.0374,60.6218,56.7374,66.0452,57.5654,63.4082
2018,61.6928,58.2008,64.5998,58.6724,62.8124,61.448,57.4916,67.622,58.8938,64.8176
2019,61.6208,59.7218,66.3494,59.8064,64.2164,62.2616,60.1592,65.7662,60.6938,65.3432
2020,61.9376,58.9532,66.6248,59.4896,64.166,63.2336,59.621,65.552,60.1556,64.6538
2021,62.1662,59.7092,63.986,60.1088,63.275,62.024,58.3448,66.002,59.4446,64.7816
2022,61.934,56.4692,64.1516,60.233,63.5234,61.682,58.0838,65.849,59.3006,65.0678
2023,62.3138,56.6294,66.9074,60.1502,64.4486,62.1284,59.1278,65.9156,59.7866,65.066
2024,62.3804,57.8048,64.8932,60.2906,64.5332,62.744,60.4742,66.2846,61.2932,64.9832
2025,62.42,58.8488,65.8652,59.5688,64.6538,62.015,59.144,65.7428,59.5796,65.0948
2026,62.6684,59.6408,65.4098,60.9008,65.0318,62.294,59.0468,64.3244,60.1232,63.6944
2027,62.0672,58.334,65.6258,60.7514,64.337,61.8296,58.3862,65.4062,60.2906,64.4684
2028,63.095,59.549,64.8572,60.7766,64.076,62.7098,58.3358,65.0786,60.2978,64.7456
2029,62.8916,58.6202,65.21,60.035,64.7618,62.7476,59.36,66.8012,60.7334,64.7042
2030,62.807,58.5896,66.9344,59.648,65.4908,64.1156,58.793,66.407,61.5056,65.4638
