UN Forest Cover,2015,1990,2000,2005,2010,2015,Loss/Gain,Loss/Gain,Loss/Gain,Loss/Gain,5-yr vs 10-yr change,Change 1990-2015
Country,%,(1000 ha),(1000 ha),(1000 ha),(1000 ha),(1000 ha),(1000 ha),% of 2010 cover,(1000 ha),% of 2005 cover,%,(1000 ha)
Angola,46.4,60976,59728,59104,58480,57856,-624,-1.10%,-1248,-2.10%,0%,-3120
Bahamas,51.4,515,515,515,515,515,0,0.00%,0,0.00%,-,0
Bangladesh,11,1494,1468,1455,1442,1429,-13,-0.90%,-26,-1.80%,0%,-65
Belize,59.9,1616,1459,1417,1391,1366,-25,-1.80%,-51,-3.60%,-2%,-250
Benin,39,5761,5061,4811,4561,4311,-250,-5.50%,-500,-10.40%,0%,-1450
Bhutan,72.3,2507,2606,2656,2705,2755,50,1.80%,99,3.70%,1%,248
Bolivia,50.6,62795,60091,58734,56209,54764,-1445,-2.60%,-3970,-6.80%,-27%,-8031
Brazil,59,546705,521274,506734,498458,493538,-4920,-1.00%,-13196,-2.60%,-25%,-53167
Brunei Darussalam,72.1,413,397,389,380,380,0,0.00%,-9,-2.30%,-100%,-33
Burkina Faso,19.6,6847,6248,5949,5649,5350,-299,-5.30%,-599,-10.10%,0%,-1497
Burundi,10.7,289,198,181,253,276,23,9.10%,95,52.50%,-52%,-13
Cambodia,53.6,12944,11546,10731,10094,9457,-637,-6.30%,-1274,-11.90%,0%,-3487
Central African Republic,35.6,22560,22404,22326,22248,22170,-78,-0.40%,-156,-0.70%,0%,-390
Colombia,52.7,64417,61798,60201,58635,58502,-133,-0.20%,-1699,-2.80%,-84%,-5915
Comoros,19.9,49,45,42,39,37,-2,-5.10%,-5,-11.90%,-20%,-12
Congo,65.4,22726,22556,22471,22411,22334,-77,-0.30%,-137,-0.60%,12%,-392
Cook Islands,64,14,15,15,15,15,0,0.00%,0,0.00%,-,1
Costa Rica,54,2564,2376,2491,2605,2756,151,5.80%,265,10.60%,14%,192
Côte d’Ivoire,32.7,10222,10328,10405,10403,10401,-2,0.00%,-4,0.00%,0%,179
Cuba,30.1,2058,2435,2697,2932,3200,268,9.10%,503,18.70%,7%,1142
Democratic Republic of the Congo,67.3,160363,157249,155692,154135,152578,-1557,-1.00%,-3114,-2.00%,0%,-7785
Dominica,57.8,50,47,46,45,43,-2,-4.40%,-3,-6.50%,33%,-7
